id,AC093001.1,MUCL1,ROCR,HMGCS2,CYP4Z2P,CLCA2,SOX10,CT83,LINC01152,HORMAD1,CYP4Z1,ROPN1B,SPINK8,TFAP2B,TDRD1,ADH1C,ROPN1,PRSS33,GABRP,SDR16C5,CEACAM5,DLX6,CPHL1P,TSPAN8,FOXA1,LEMD1,LINC02188,CCL21,LINC02487,FREM2,SLC6A15,LINC00993,LINC01956,IYD,CEACAM7,ENSG00000240800,ABCC12,MIA,LINC01198,CYP4F8,KLHDC7A,TMC5,ANKRD30A,ABCA12,OCA2,LRRC31,TFF3,HGD,AC096996.2,REEP6,ZIC1,AR,AGR2,TTC6,LRG1,SLC44A4,AC020907.1,SMIM31,C7,TPSB2,UGT8,FCN2,CNTNAP2,SPDEF,TMEM213,ZBTB8B,COL9A1,ENSG00000254967,ELF5,CAPN13,OXGR1,SHC4,DLX6-AS1,SIDT1,PRAME,SOX9-AS1,ZBTB16,LINC01224,CPA3,AC008268.1,TPSAB1,TTYH1,SPHKAP,KIRREL3-AS1,CCKBR,C9orf152,AC024940.2,RLBP1,FAM19A3,CA6,AP001783.1,AARD,FABP4,PLA2G2A,BCAS1,LRFN2,EPGN,SLCO4A1-AS1,PRR15,ART3,PLEKHG7,CTSG,AC005077.4,LINC02015,POU4F1,HDC,AL157387.1,AC011247.1,OGN,GABBR2,MUC16,ST6GALNAC1,RASGEF1C,SOX8,AC015712.4,NDUFB4P11,CRABP1,SEC14L4,MS4A2,SLC27A6,S100A1,TPSD1,KNDC1,SCRG1,MLPH,SELP,NCMAP,CHRM3,AL022334.1,PCDH8,FCER2,ZIC4,EN1,TFCP2L1,SFRP1,MMRN1,ABCA8,TCAM1P,VGLL1,PTX3,CST2,DLGAP1,AC022101.1,DSC3,PLEKHB1,TMPRSS5,SYTL5,ENSG00000232224,PLS3-AS1,PLA2G4F,CRHR1,MAPK4,CYP4B1,GFRA3,OR7E22P,EPHA7,ABCC8,KRT9,AC245884.9,BLK,NRTN,GTF2IP7,OPRK1,SLC7A2,C8orf46,SCUBE2,AC021683.2,LINC00862,SOX6,FBN3,KYNU,TMEM45B,AC098936.1,CMTM5,OR2B6,C4B,LINC00160,ATP1A2,AC022148.1,MFAP4,KRT83,CILP,LINC00518,LILRA4,LAMP5,LINC01122,CNR2,AC069148.1,DRAIC,CD19,FOXD3,KCNK5,IMPDH1P8,SFRP4,NRK,HRASLS2,EXTL1,CD177,SERPINB5,GFRA1,CXCL14,LINC00504,CYP4F22,MSX2,RPSAP69,LINC00839,WNK3,SCN2B,FOXD3-AS1,TSPAN1,LINC00092,CMA1,KERA,C9orf170,ENSG00000253701,C1QL4,SVOPL
SD0372,0.154,2.742,6.565,0.116,0,2.317,231.776,9.307,4.093,20.583,0.463,28.769,0.579,8.805,0,0.077,97.082,15.91,416.13,0,0.039,2.587,0.154,0,1.197,0.232,3.36,5.599,0.85,2.51,0.232,0.039,13.052,0.039,0,0.039,0.154,33.558,0.502,0,0,0.077,0.077,0.463,4.093,0.116,1.081,0.116,0,0.927,8.303,3.475,1.545,0.193,0.27,1.622,5.986,0,0.232,0.927,33.017,0,0,50.433,77.851,1.313,0.154,0,44.37,0.541,9.384,26.375,4.788,1.583,32.361,9.963,0.541,0.695,0.927,0,1.661,653.582,9.113,3.553,1.313,1.236,7.53,0.039,2.51,1.661,3.321,40.084,2.78,0.039,0.039,0,0.193,0.193,0.039,1.699,0,0.039,0.077,0.232,0.154,0.309,0,6.333,8.187,64.991,3.669,0,0.772,38.385,0.039,0.541,102.063,1.236,0.077,1.892,123.727,0,0,122.8,1.969,0.232,3.669,126.083,0.27,0.116,0.077,2.047,102.797,81.558,891.035,2.819,0.154,2.935,21.702,31.318,0.27,20.891,0,96.387,28.113,2.973,0.27,2.549,0.193,0.541,98.163,4.904,0.618,2.085,0.811,25.989,0.039,2.008,12.512,0.077,26.684,0.039,4.093,2.008,21.857,5.368,0.039,0.039,30.854,2.24,3.167,0.463,0,1.004,0.927,0.502,0,0.193,0.154,1.622,0.772,4.673,0.154,0.077,3.514,5.986,0,0.579,0.425,0.193,3.939,150.913,1.931,15.524,1.043,0.695,38.192,0.348,164.738,0.502,26.838,0.27,0,0.309,3.784,10.928,12.126,0,2.819,0.579,0.425,0,0.077,0.077,0,0.116,5.754
SD0377,413.904,7596.058,0.635,118.357,20.759,62.117,7.308,0,0.053,0.106,55.074,0.424,43.53,96.062,11.968,5.084,0.318,0.106,8.473,72.92,1.536,0,12.709,40.829,87.007,0.053,0.106,169.724,0.212,0,0,4.978,0.847,5.454,1.059,2.966,5.402,0.371,0.053,21.553,7.149,32.462,6.408,29.285,0.212,0.847,19.964,15.41,14.934,304.868,0.053,338.865,129.477,1.906,98.869,20.706,0.265,8.738,93.997,64.183,0.953,17.952,64.183,304.973,0.053,0,0.212,0.212,3.495,50.414,0.159,0.847,0.053,38.446,2.118,0.477,7.308,0,51.42,9.108,146.423,10.062,0,0,0.159,54.174,0.794,0.106,0.159,0.265,0,1.112,190.906,52.056,14.669,9.691,0.265,0.212,22.242,0.053,0.741,15.781,15.039,10.962,1.218,5.507,1.642,0.794,19.17,0.159,2.224,3.336,0.424,2.171,0.053,0,2.595,0,0.9,0.583,1.589,1.43,14.404,3.124,262.556,35.428,1.059,0.583,0,0.053,10.115,0,4.131,5.031,95.586,6.778,12.921,0,7.732,2.436,3.177,0.212,3.707,2.277,9.32,0.688,3.018,0.106,0.053,13.08,0.583,0.318,4.66,3.124,0,0,9.108,0,0.053,8.579,0.9,0.424,0.053,23.936,0.635,19.435,0.053,4.713,0.953,1.748,177.985,22.189,0.106,0.424,0.053,116.132,2.065,6.672,0.477,157.12,0.159,178.409,0,20.706,22.242,0.053,3.495,0.212,0.9,11.015,0.053,5.031,0.159,238.726,4.766,10.485,1.642,5.56,3.813,15.622,341.407,1.059,7.626,38.764,0,0.794,0.159,1.165,0.053,127.465,0.106,2.648,0.159,0.159,1.959,0,0.212
SD0403,73.652,3159.686,0.305,10.677,18.348,171.449,23.926,0,0.436,0.349,21.398,2.746,30.55,26.149,0.305,1.438,2.179,0,60.404,4.053,1.133,0,4.097,6.842,92.174,0.044,0.349,58.704,0.044,0.131,0.044,0.61,0.218,1.133,0.479,1.133,1.743,0.131,0.828,0.741,5.927,50.075,1.046,28.154,0,1.83,16.604,9.457,1.22,42.274,0.087,14.077,74.219,3.051,106.382,46.632,0,1.133,6.929,3.356,5.971,7.365,41.054,119.064,0.087,0,0,0.436,34.386,97.404,0.697,0.349,0.087,24.1,0.784,0.959,0.915,0.131,7.627,0.044,4.663,1.525,0,0.131,0.044,35.78,0.567,0,0.392,1.656,0,3.704,25.582,6.363,1.177,0,0.261,0.349,16.561,1.525,3.181,1.22,4.75,0.523,0,0.959,0.218,0.959,6.973,0.479,20.57,0.349,0.261,0.784,0.087,0.784,8.586,0,0.218,0.392,11.767,0.392,0.044,0.087,211.369,17.563,1.656,0.087,0.174,0.087,4.402,0,1.307,3.225,125.296,6.014,5.404,4.532,1.395,2.266,0.436,0.523,5.23,1.351,16.387,0.784,2.223,1.918,0.044,4.838,0.044,0.479,4.053,0.218,0.349,2.528,0.131,0.087,0.044,5.36,0.479,0.784,0.044,11.331,0.392,9.719,0.044,1.525,0.654,0.959,177.899,3.661,0.087,0.044,0.523,218.516,0.567,0.131,0,40.836,0,96.881,0.305,8.586,6.232,0.436,2.702,0.131,0.784,9.37,0,3.574,0.349,124.817,2.092,1.046,4.402,2.441,2.789,2.31,61.668,1.09,0.479,2.31,0.349,1.569,0.959,0.436,0.087,10.982,0.174,0.654,0.087,0.174,2.441,0,2.528
SD0404,0.232,5.725,0.387,2.708,0.619,0.193,8.355,0,0,0,6.266,0.89,0.425,8.78,0.039,3.21,0.967,0,12.958,1.547,5.493,0.116,0.967,1.779,220.516,0.193,0,61.617,0,0.077,0,6.034,0,0.464,0,3.443,0.077,0.542,0.039,0.116,92.368,4.603,2.089,9.709,0,0.039,321.857,25.103,0.58,29.281,0.077,59.335,2101.686,5.879,79.797,95.385,0.812,0.425,34.928,147.255,0.387,0.348,38.912,246.663,5.338,0,0.155,0.232,4.255,60.921,0.039,2.708,0.116,14.273,0.077,0.774,0.309,2.553,113.836,31.718,137.701,1.431,0,0,0,7.349,48.312,0,0.155,0,0,133.098,142.652,0.155,41.272,3.636,0,0.077,36.282,0.116,0,19.147,9.051,0.039,0,9.438,1.083,1.47,29.745,0,0.232,0.658,0.077,0.696,0,0.271,3.288,0.155,0.735,1.199,4.487,13.693,0.232,1.47,1032.76,17.29,1.122,1.16,0,0,1.122,0,0.658,41.697,47.383,12.494,7.001,0,0.271,1.199,29.668,1.741,0,2.282,174.873,0.619,2.011,0.851,0,5.995,0.116,0.077,7.543,0.542,0.039,0.116,0.928,0.116,0,2.166,1.47,1.895,0,104.514,3.636,567.979,0.077,0.193,0.658,0.464,3.404,0.387,0.039,0,2.359,36.823,1.973,5.299,0.039,59.954,0.039,32.221,0,2.746,24.214,0.077,1.509,0.155,2.089,3.094,0.348,2.901,0,61.463,11.604,14.428,0.271,0.425,2.901,183.576,86.257,29.049,5.26,7.465,0.735,0.425,1.47,0.309,4.642,202.181,0.309,12.184,0.387,0,0.542,0.232,0.348
SD0450,0.854,6.946,3.751,2.229,0.334,2.191,119.082,1.857,1.337,35.398,5.869,22.657,0.334,3.789,0.074,1.783,12.592,43.383,403.599,6.649,0.111,4.866,1.894,0.074,13.854,11.477,2.191,8.617,1.783,13.706,6.426,0.186,4.754,0.26,0,0.074,0,1.671,1.263,0,0.371,0.929,0.149,0.446,4.42,0.111,1.671,0.371,0.037,1.114,16.975,16.046,1.411,1.263,0.334,1.746,3.789,0.074,26.409,2.786,69.272,0.149,0.334,10.326,0.446,2.749,9.323,0,26.112,0.817,2.526,36.252,4.643,4.197,89.441,3.9,0.409,0.074,14.969,0.594,4.531,49.326,0.037,1.151,0.037,1.077,0.631,0.074,13,0.594,1.003,472.426,50.292,2.229,1.189,0.074,0.037,0.817,0.334,51.629,0,2.749,0.483,0,1.783,1.969,0.186,3.9,100.733,16.12,17.049,0.594,0.371,56.606,0.334,0.594,85.615,0.074,0.52,7.689,68.604,0.149,0,92.004,11.143,16.046,5.572,56.458,0.297,0.854,0.149,8.729,146.753,296.404,869.414,20.726,24.812,10.66,34.952,18.757,0.111,24.44,0,12.034,10.846,1.709,0.334,5.869,0.446,0.111,2.823,16.603,1.56,0.743,0.186,5.943,0,0.854,1.003,0.223,6.426,0.26,2.414,14.783,24.143,10.809,0.854,0.037,33.318,5.683,8.58,0.631,0.966,3.863,1.337,3.826,0,6.872,1.411,93.564,1.263,179.551,1.709,1.04,1.486,0.186,0.297,0.223,0.223,0.297,0.149,40.486,0.186,210.9,4.68,0,113.101,0.297,57.015,16.009,88.438,0.743,0.26,1.189,0.371,3.417,7.057,3.64,0.037,1.337,8.357,1.3,3.157,0.186,0.111,5.274,0.594
SD0457,0.313,2.085,4.848,0.261,0,0.73,289.483,7.35,0.469,11.312,0.417,14.284,0.052,0.73,0.052,0,31.8,1.147,284.791,0.261,0.052,0.365,0.209,3.18,1.46,2.398,2.189,0.782,57.344,8.81,12.459,0.052,6.151,0.052,0,0.104,0.104,9.384,3.441,0,0.156,0.573,0.261,0.886,2.346,0,1.303,0.156,0,2.242,12.407,2.711,7.82,0,1.564,0.678,11.104,0,30.497,28.463,46.084,0,0.886,1.877,68.344,0.626,0.938,0,8.132,0.417,1.825,17.829,0.052,1.303,108.745,2.659,0,0.313,21.686,0.052,39.463,38.42,0.469,17.672,1.251,0.104,34.928,3.128,5.995,33.937,2.815,20.435,3.701,0.678,0.313,0.156,0,7.455,3.649,1.303,0.104,7.507,0.156,0,0.678,1.825,0.104,34.25,2.554,9.071,26.274,0.156,1.408,46.918,0.626,5.734,81.689,3.753,0.052,1.668,83.201,1.408,0.834,0.678,16.682,6.047,1.981,24.397,0,0,0.104,1.72,25.805,15.744,64.173,1.877,0.469,8.81,14.701,1.251,0.573,1.46,0,132.829,128.19,8.237,0.782,0.209,0.156,0,32.53,2.137,0.782,5.474,1.355,0.313,2.659,0.261,0,0.261,62.453,0.052,0.573,7.872,0.313,5.369,0.052,0,6.516,0.782,7.09,0.626,0.104,1.668,0.156,5.005,0,0.313,0.052,35.084,0.156,15.118,0,17.777,3.649,0.521,0.156,1.668,0,0.573,7.611,262.114,0.834,68.708,0.417,0.052,0.626,2.398,39.255,8.602,6.829,0.469,0.99,6.464,0.469,14.232,2.815,0.104,9.227,24.084,4.327,2.815,0.156,1.408,0.104,0.104,0.365
SD0483,4.737,28.814,19.362,1.716,0.687,3.57,59.001,9.269,8.308,13.343,4.898,66.324,0.252,4.898,0.16,2.357,44.056,0.229,1086.5,11.352,0.435,7.255,3.524,0.755,7.438,31.217,1.419,32.315,0.137,5.149,0.343,0.984,8.262,0.023,0.206,0.824,0.046,8.491,0.183,0.183,0.709,4.646,1.236,1.213,0.641,0.023,1.35,0.664,0.023,1.533,8.285,13.617,5.149,1.053,0.755,11.329,3.204,0.046,52.982,9.246,39.914,0.114,8.353,4.394,0.046,1.282,20.552,0.069,17.279,1.419,14.121,65.889,8.376,9.2,34.1,11.466,0.915,0.092,24.031,1.236,13.457,149.653,3.822,1.053,0,2.426,126.721,0.252,1.991,0.16,0.435,47.443,67.125,6.248,1.167,0.023,0,0.549,1.327,6.431,0.938,2.312,2.563,0,0.137,2.769,0.549,2.952,36.412,1.282,24.694,0.732,0.092,9.818,1.19,0.114,4.12,2.289,0.755,10.413,21.879,0.847,0.229,41.676,26.502,11.809,0.824,36.847,0.893,2.655,4.989,4.486,46.07,22.337,272.552,12.153,11.649,7.621,0.32,50.35,1.854,6.912,0.023,188.514,10.94,3.982,1.488,3.593,2.128,0.114,46.459,3.021,0.778,0.641,0.275,0.366,0.183,1.671,2.197,12.244,1.51,0.938,1.831,9.978,0.709,13.343,0.343,0.206,12.244,11.535,16.226,1.19,2.929,1.327,0.114,13.709,0.046,3.959,0.503,72.275,0,147.891,0.114,3.479,41.722,1.602,7.415,4.554,0.275,14.373,0.664,78.637,0.961,57.17,1.854,0.298,25.518,0.298,332.743,4.966,50.716,0.801,1.922,10.757,0.961,5.264,1.785,0.481,0.847,5.905,0.275,0.984,1.396,1.465,2.929,2.06,3.433
SD0487,1.109,16.224,2.505,0.739,0.123,4.929,52.245,6.449,0.37,0.37,0.575,3.902,0.041,3.081,0.205,1.109,29.285,0.616,27.971,0.411,0,0.041,0.534,1.355,4.231,1.027,1.273,27.067,0.411,0.698,0,0.37,2.588,0.123,0.082,0.288,0,4.847,1.314,0.205,0.493,3.45,0.205,3.368,2.341,0.329,0.534,2.3,0.246,2.629,4.313,5.545,5.791,0.411,2.998,1.314,3.039,0,25.096,11.172,61.199,0,12.979,3.286,4.723,0,0.123,0.082,73.316,4.148,3.532,0.493,0.082,12.692,128.847,3.039,0.246,0.123,24.028,0.082,15.895,1.602,3.327,1.889,1.972,1.972,6.613,2.957,12.897,0.082,1.396,5.257,12.076,2.177,0.329,0.123,0.164,0.37,2.547,4.189,0.493,5.75,0.452,1.561,0.863,2.382,0.123,48.959,4.107,6.9,8.954,0.452,1.109,3.902,0.411,5.545,316.306,1.314,0.575,2.588,12.856,1.848,0.329,0.493,15.936,18.894,0.739,0.123,0.041,0.246,8.543,0.904,39.102,26.328,133.817,3.163,6.531,0.246,57.626,3.45,0.739,2.875,0.411,41.361,113.979,0.945,0.123,0.698,0.205,3.491,0.164,2.218,0.739,1.15,13.554,0.205,0.123,0.041,0,15.403,3.738,0,0.452,14.499,5.668,9.077,1.027,0.205,1.684,1.684,46.7,0.986,0.123,0.041,0.616,38.404,0.205,0.452,0.041,60.994,0.246,92.333,0.041,9.981,6.161,0.329,7.927,1.068,0.041,20.578,2.3,29.86,0.37,94.14,0.904,0.37,1.068,1.191,25.137,7.804,91.429,1.191,3.573,0.78,0.493,1.314,1.15,0.205,4.723,5.956,6.941,1.027,0.205,0.575,3.039,2.916,2.013
SD0506,275.638,4016.406,0,24.559,47.057,403.872,0.891,0,0.234,1.734,11.202,0.562,57.274,170.791,54.04,1.922,0.516,0,3.656,72.46,11.858,0,43.963,12.467,176.041,0.141,0,10.077,0,0,0.047,10.827,0.094,41.245,19.029,14.248,9.046,0.047,0.047,21.044,8.061,146.888,80.474,132.546,0,1.265,22.216,82.021,10.921,199.616,3.234,272.45,61.633,5.015,29.856,78.271,0,7.03,11.999,11.717,1.969,9.702,24.231,257.733,0.328,0,0,0.234,4.64,98.847,0,0.516,0.094,51.884,13.358,0.797,21.654,0,11.811,1.922,17.717,1.828,0,0,0,31.777,0.375,0.094,0.047,0,0,47.01,2.531,0.516,10.733,1.453,2.062,0.047,12.561,1.969,0.234,0.562,32.762,11.624,0.75,2.343,8.858,0.937,61.586,0.047,2.25,4.124,0.984,13.498,0,0,5.015,0.047,2.062,0.094,2.156,1.828,14.436,0.797,205.474,2.906,0.797,1.781,0.187,0,0.187,1.265,3.14,6.046,55.352,1.969,7.64,0.656,5.062,0.141,0.75,0.422,3,3.515,1.453,0.375,0.422,0.141,0,1.969,3.328,0.141,4.828,0.187,0,0.094,3.468,0.047,0,1.406,0.328,7.452,0.047,49.588,0.187,57.462,0.094,3.796,3.14,6.468,282.34,20.716,0.234,0.047,0.141,101.519,2.156,0.984,0.516,57.134,0.047,257.405,0.187,0.984,22.778,0,0.328,0.047,0.891,1.406,0.328,2.25,0.047,204.584,1.687,17.248,2.156,7.827,2.578,4.453,109.299,1.969,2.062,60.461,0.047,1.078,0.797,1.453,0.281,174.26,0,0.187,2.25,0.047,0.281,0.047,1.922
SD0507,0.188,4.37,17.028,0.979,0.038,0.075,272.184,15.709,15.333,30.326,0.113,41.063,0.038,0.151,0.151,0,7.384,1.243,380.003,0.151,0.339,0.075,0.527,0,2.825,7.987,2.75,0.075,6.141,1.432,3.353,0.038,28.518,0,0.113,0.038,0.038,2.486,4.671,0.113,0.038,0.113,0.038,0.979,15.295,0.151,0.49,0.113,0.264,36.279,53.872,0.527,1.884,0.038,0.753,0.226,20.23,0,0.075,0.377,57.903,0,0.829,9.154,0.904,0.226,1.168,0.038,193.147,0.151,8.401,45.659,0.038,1.394,0,14.127,0.038,7.497,0.151,0.038,0.151,276.667,0,0,0,0.791,26.672,0.151,5.613,0.49,0,440.844,0.49,0,0.038,0,0.075,2.26,0.151,85.178,0,0,0.49,0.075,4.445,0.414,0,5.161,0.339,0,611.426,1.808,16.764,128.049,0.301,0.038,120.854,0,0,68.564,70.335,0.075,0.339,6.404,55.944,0.075,5.839,26.145,1.808,0.038,0.151,26.974,348.17,105.973,56.509,0.188,0.226,2.11,94.294,84.161,0.113,0.151,0.414,96.366,204.261,5.877,1.206,5.952,1.733,0.452,0.49,12.281,0.414,0.377,0.753,3.767,0,3.541,4.069,0.038,6.216,0.038,0,1.243,116.145,0.414,0.151,0.113,13.374,8.928,6.706,1.017,0.565,0.075,1.846,2.26,0,0.038,5.199,1.921,0.151,15.973,28.217,0.753,0.716,1.469,0.075,2.147,0.188,0.942,0,22.302,0.527,2.449,0.075,0.151,18.573,0.113,24.299,0.301,0.866,0.264,0.038,0.339,1.394,0.603,4.935,0.151,0.075,0.527,0.942,0,0,1.432,0,1.13,17.103
SD0594,0.036,0.432,23.383,0.108,0.072,0.144,76.561,7.098,12.142,20.284,0.18,1.009,0,0.324,0.036,0.036,3.495,0.288,108.555,0.108,0.18,0.18,0.18,0.252,0.829,14.484,6.377,1.657,1.621,118.967,5.512,0,0.144,0.108,0,0,0.072,1.045,0.576,0,0.18,5.08,0.072,1.982,2.774,0.144,0.108,0.144,0,0.793,3.315,2.666,6.269,0,12.394,0.288,3.495,0,0.072,1.261,30.733,0.36,0.432,1.513,0.504,1.441,0.288,0.036,38.731,4.432,1.189,0.829,0.252,0.721,8.034,23.239,0.252,2.738,3.639,0.036,2.306,36.389,0,0.072,0.829,3.603,41.109,1.117,1.585,0,0,200.861,0.072,0,0.504,0.072,0,3.603,4.684,18.735,0,0.793,0.54,0.036,5.332,0.18,0.036,0.504,0.252,4.504,235.304,0.072,0.54,0.324,0.252,0.865,0.721,0.468,0.144,6.089,1.91,0.036,0.144,0.216,44.82,0.396,7.566,8.323,0.252,27.49,0.036,1.729,1.585,25.328,1174.108,0.216,0.324,23.203,118.139,69.283,0,0.504,0,40.388,30.733,0.216,0.757,2.954,0.829,1.297,0.576,9.115,0.216,1.91,0.757,29.472,0,0.252,0.721,0.216,1.333,0.252,9.62,7.278,3.315,2.378,6.341,0.108,10.737,26.661,21.185,5.548,1.585,0,0.432,8.719,0,0.108,0.36,11.637,2.558,29.616,0.18,0.216,1.765,0.685,0.108,1.117,0.072,0.829,0.324,19.239,0.793,9.872,2.162,0.144,0.36,0.144,27.382,14.916,0.937,0.36,0.108,2.99,1.657,6.557,5.332,0.036,1.585,4.612,0.036,0.252,0,1.045,0.288,0.072,4.143
SD0599,0.153,38.4,8.406,0.191,0,0.382,144.81,6.419,3.553,0.076,0.115,6.037,0.344,1.146,0,0,2.789,3.592,2625.387,0,0.344,10.851,0.038,0,4.394,10.469,0.038,0.306,1.681,1.528,53.11,0,8.329,0.076,0.076,0,0.115,0.191,0.573,0.038,0,0.382,0.076,2.369,20.251,0.038,0.65,0.229,0.344,13.335,6.801,1.261,1.376,0.535,0.115,0.191,0.229,0,0.267,0.076,80.696,0,3.171,9.934,0.038,0,0.038,0,178.128,0.076,3.706,22.887,13.793,1.223,23.269,5.693,0,0,0.611,0.076,0.115,1.987,0,1.146,0,0.115,1.681,0,1.146,0.191,0.191,1822.281,0.497,0.229,0.841,0.115,0.382,0.841,4.738,81.117,0.115,0.115,0.726,0,8.864,0.038,0.038,1.223,0.115,0.076,235.441,0,9.552,7.604,0.955,0.344,164.717,0,0.038,51.582,43.52,0.038,0.65,1.987,0.993,0.115,13.755,6.61,0.038,0,0.076,3.821,94.413,57.16,1942.371,0.115,0.076,1.376,94.452,0.497,0.038,1.108,0,219.317,7.336,0.917,0,9.629,0.65,0.535,0,0.229,0.267,8.979,1.414,0.153,0.038,4.203,0.115,0.535,4.585,0.115,6.686,3.592,7.833,0.841,0.076,0.191,8.941,0.382,5.273,2.293,1.643,0.42,0.497,1.758,0.038,0,0.726,2.293,1.032,13.87,7.68,0.115,0.573,0.153,0.076,0.344,0.191,1.146,1.223,7.145,0.726,7.374,0.955,0.076,38.4,0.306,138.239,0.497,0.917,0.65,0.038,3.286,0.115,15.245,1.261,0.038,3.057,0.267,0.535,0.076,0.153,0.459,0.076,4.509,0.153
SD0623,0.268,0.59,0.643,0.214,0,0.214,0.054,9.219,0.054,6.324,0.161,24.762,1.769,0.214,0.107,0.054,37.84,7.289,28.835,1.822,0.214,0.161,0.107,0.59,0.59,13.721,0,23.368,0.482,0.268,16.294,0,19.081,0,0,0,0,0.214,3.162,0,0,0.107,0.107,5.735,4.556,0.054,2.144,0.214,0,17.258,10.773,0.858,2.787,0,0.75,0.911,20.099,0,0.482,2.894,17.902,0,2.037,2.573,0,0,0.161,0,10.13,0.214,1.018,7.557,0.107,6.914,14.364,4.985,0,0.054,2.68,0,4.502,2.197,0,3.537,0,0.107,202.33,0,0.107,0,1.501,36.285,1.608,0.107,0.965,0,0,0.375,1.554,65.442,0.161,0.107,0.054,0.268,0.107,0.59,0,1.179,0.161,1.822,88.007,0.054,0.161,17.419,0,2.894,154.092,0.161,0,1.072,8.04,0.322,1.394,1.662,59.547,1.501,1.715,16.026,0.054,0,0.75,2.358,107.409,35.803,1070.821,1.179,0.429,0.054,13.292,0.643,0,3.966,0.268,95.457,23.904,0.268,0,5.145,0.75,1.126,1.715,0.536,0.214,0.59,18.598,0,0.054,0.268,0.161,2.787,78.949,0,9.326,2.09,0.965,1.126,0.911,0.054,1.501,0.375,9.058,0.643,0.804,0,0.268,109.339,0,0.054,0.054,8.629,0,9.969,0.214,4.877,3.698,0,0.482,0.268,0.268,22.029,0,41.377,0.322,31.086,0,0.375,0.375,1.394,15.222,0.965,3.377,0,0.054,0.858,0.375,11.47,1.179,0,0,4.127,7.504,0,0,0.536,0.429,1.394,1.233
SD0665,0.152,1.407,11.677,0.152,0.19,1.369,60.82,0,13.008,0.342,0.571,12.628,0.152,2.701,0,0.304,15.785,0.913,701.581,3.233,0.913,2.016,15.823,0,6.39,4.602,1.217,13.959,3.309,3.88,0.609,0.913,10.802,0.875,0,0.875,0,0.114,1.255,0,0,2.929,4.07,4.526,0.152,0.038,0.456,0.571,0,1.483,0.038,11.943,2.548,0.38,0.533,1.293,0.875,0.038,2.815,1.369,8.634,0,6.847,9.889,0.076,1.826,0.304,0,37.542,36.211,3.005,31.836,8.596,2.472,29.06,15.329,0.38,2.586,2.358,0.228,1.788,3.423,2.51,1.75,31.266,2.586,3.119,0.609,1.902,0.152,0.761,34.271,1.483,0.342,0.342,0,0.076,4.564,3.994,9.167,0.076,1.636,1.255,0.076,2.815,0.571,0.494,3.537,8.178,22.441,219.051,0.19,0.647,1.788,0.418,0.761,26.283,2.244,0.076,2.244,2.967,0.076,0.266,0.533,21.072,3.88,25.332,10.118,0.685,0,0.038,0,88.511,220.877,295.162,3.69,3.347,0.266,209.58,3.804,0.038,1.065,0.152,637.071,76.986,0.456,0.609,0.533,3.119,0.304,3.804,37.808,0.837,0.038,0.228,0.19,0.152,0.152,0.076,0.799,2.853,0.304,49.447,6.694,0.571,20.92,0.685,0.266,3.651,18.181,5.325,4.869,0.533,0,0.152,14.568,0.38,0.076,0.076,32.179,3.081,96.917,0.609,0.342,4.755,1.065,0.456,0.799,0.114,1.179,0.304,77.594,1.521,17.383,3.613,0,1.217,0.304,97.944,2.396,92.314,0.456,0.152,4.26,1.065,5.82,3.537,0.152,1.598,2.967,0.533,0.266,1.103,0.533,0.19,0.342,2.548
SD0683,0.289,1.693,61.451,0.537,0.083,0.496,503.499,13.587,4.088,18.336,0,94.282,0.041,0.372,0.124,0,17.221,2.189,5139.798,0,0.206,13.628,0.041,0.041,1.239,17.262,20.153,0.372,0.165,5.534,0.124,1.528,5.658,0,0,1.528,0.041,27.298,1.115,0,0.289,1.28,0.496,0.165,0.041,0.124,0.537,0.165,0,2.973,21.475,0.867,393.4,0.124,2.106,195.998,18.625,0,0,0.454,71.032,0.041,0.33,1.487,180.676,3.18,153.833,0,22.548,1.569,1.074,101.716,16.023,0.496,93.58,11.728,0.124,0,0.165,0.083,0.083,553.551,38.737,3.18,8.094,0.041,158.871,42.495,8.053,42.082,1.404,141.733,7.475,0.537,0.248,0,0.083,0.909,0.33,63.805,0,0,0.33,0,0.289,0.041,0.661,78.672,0.206,0.083,0.95,0,0.95,35.846,1.734,3.469,104.689,2.478,0,6.153,126.701,0,0.165,54.637,15.445,0.083,40.472,149.786,0.743,0,0.083,1.652,19.947,30.271,293.955,0.083,0.206,1.652,2.684,140.164,0.124,1.982,0.041,1.528,265.956,6.029,0.041,0.248,0.083,0.083,95.645,5.369,0.083,230.151,1.198,0.785,0.289,0.785,5.41,0,15.693,0.041,0.124,1.198,2.437,1.322,0.33,0,24.613,43.197,4.46,0.578,0,19.74,0.083,3.139,0,0.454,0,0.95,0.124,1.776,0.124,0.248,0.454,0.991,0.165,2.354,0.165,0.083,22.796,229.985,0.206,3.221,0.289,0.041,173.738,0.083,8.796,3.552,5.451,0.083,0,3.923,4.501,0.454,4.419,0,25.191,12.554,0.537,0,0,2.065,0,8.012,3.262
